UID         PID   PPID  C STIME TTY          TIME CMD
root          1      0  0 09:49 ?        00:00:04 /sbin/init auto noprompt
root          2      0  0 09:49 ?        00:00:00 [kthreadd]
root          3      2  0 09:49 ?        00:00:02 [ksoftirqd/0]
root          5      2  0 09:49 ?        00:00:00 [kworker/0:0H]
root          7      2  0 09:49 ?        00:00:02 [rcu_sched]
root          8      2  0 09:49 ?        00:00:00 [rcu_bh]
root          9      2  0 09:49 ?        00:00:00 [migration/0]
root         10      2  0 09:49 ?        00:00:00 [watchdog/0]
root         11      2  0 09:49 ?        00:00:00 [kdevtmpfs]
root         12      2  0 09:49 ?        00:00:00 [netns]
root         13      2  0 09:49 ?        00:00:00 [perf]
root         14      2  0 09:49 ?        00:00:00 [khungtaskd]
root         15      2  0 09:49 ?        00:00:00 [writeback]
root         16      2  0 09:49 ?        00:00:00 [ksmd]
root         17      2  0 09:49 ?        00:00:01 [khugepaged]
root         18      2  0 09:49 ?        00:00:00 [crypto]
root         19      2  0 09:49 ?        00:00:00 [kintegrityd]
root         20      2  0 09:49 ?        00:00:00 [bioset]
root         21      2  0 09:49 ?        00:00:00 [kblockd]
root         22      2  0 09:49 ?        00:00:00 [ata_sff]
root         23      2  0 09:49 ?        00:00:00 [md]
root         24      2  0 09:49 ?        00:00:00 [devfreq_wq]
root         28      2  0 09:49 ?        00:00:09 [kswapd0]
root         29      2  0 09:49 ?        00:00:00 [vmstat]
root         30      2  0 09:49 ?        00:00:00 [fsnotify_mark]
root         31      2  0 09:49 ?        00:00:00 [ecryptfs-kthrea]
root         46      2  0 09:49 ?        00:00:00 [kthrotld]
root         47      2  0 09:49 ?        00:00:00 [acpi_thermal_pm]
root         48      2  0 09:49 ?        00:00:00 [bioset]
root         49      2  0 09:49 ?        00:00:00 [bioset]
root         50      2  0 09:49 ?        00:00:00 [bioset]
root         51      2  0 09:49 ?        00:00:00 [bioset]
root         52      2  0 09:49 ?        00:00:00 [bioset]
root         53      2  0 09:49 ?        00:00:00 [bioset]
root         54      2  0 09:49 ?        00:00:00 [bioset]
root         55      2  0 09:49 ?        00:00:00 [bioset]
root         56      2  0 09:49 ?        00:00:00 [bioset]
root         57      2  0 09:49 ?        00:00:00 [bioset]
root         58      2  0 09:49 ?        00:00:00 [bioset]
root         59      2  0 09:49 ?        00:00:00 [bioset]
root         60      2  0 09:49 ?        00:00:00 [bioset]
root         61      2  0 09:49 ?        00:00:00 [bioset]
root         62      2  0 09:49 ?        00:00:00 [bioset]
root         63      2  0 09:49 ?        00:00:00 [bioset]
root         64      2  0 09:49 ?        00:00:00 [bioset]
root         65      2  0 09:49 ?        00:00:00 [bioset]
root         66      2  0 09:49 ?        00:00:00 [bioset]
root         67      2  0 09:49 ?        00:00:00 [bioset]
root         68      2  0 09:49 ?        00:00:00 [bioset]
root         69      2  0 09:49 ?        00:00:00 [bioset]
root         70      2  0 09:49 ?        00:00:00 [bioset]
root         71      2  0 09:49 ?        00:00:00 [bioset]
root         72      2  0 09:49 ?        00:00:00 [scsi_eh_0]
root         73      2  0 09:49 ?        00:00:00 [scsi_tmf_0]
root         74      2  0 09:49 ?        00:00:00 [scsi_eh_1]
root         75      2  0 09:49 ?        00:00:00 [scsi_tmf_1]
root         80      2  0 09:49 ?        00:00:00 [ipv6_addrconf]
root         95      2  0 09:49 ?        00:00:00 [deferwq]
root         96      2  0 09:49 ?        00:00:00 [charger_manager]
root        136      2  0 09:49 ?        00:00:00 [bioset]
root        137      2  0 09:49 ?        00:00:00 [bioset]
root        138      2  0 09:49 ?        00:00:00 [bioset]
root        139      2  0 09:49 ?        00:00:00 [bioset]
root        140      2  0 09:49 ?        00:00:00 [bioset]
root        141      2  0 09:49 ?        00:00:00 [bioset]
root        142      2  0 09:49 ?        00:00:00 [bioset]
root        143      2  0 09:49 ?        00:00:00 [bioset]
root        144      2  0 09:49 ?        00:00:00 [scsi_eh_2]
root        145      2  0 09:49 ?        00:00:00 [mpt_poll_0]
root        146      2  0 09:49 ?        00:00:00 [mpt/0]
root        147      2  0 09:49 ?        00:00:00 [scsi_tmf_2]
root        148      2  0 09:49 ?        00:00:00 [scsi_eh_3]
root        149      2  0 09:49 ?        00:00:00 [scsi_tmf_3]
root        150      2  0 09:49 ?        00:00:00 [scsi_eh_4]
root        151      2  0 09:49 ?        00:00:00 [scsi_tmf_4]
root        152      2  0 09:49 ?        00:00:00 [kpsmoused]
root        153      2  0 09:49 ?        00:00:00 [scsi_eh_5]
